,epoch,val_loss
0,0.0,0.010366854257881641
1,1.0,0.008644280023872852
2,2.0,0.008548169396817684
3,3.0,0.008161959238350391
4,4.0,0.008148807100951672
5,5.0,0.008134416304528713
6,6.0,0.007915792055428028
7,7.0,0.008120628073811531
8,8.0,0.008283236995339394
9,9.0,0.007895304821431637
10,10.0,0.008016341365873814
11,11.0,0.008135763928294182
12,12.0,0.007978265173733234
13,13.0,0.007641306612640619
14,14.0,0.00762800732627511
15,15.0,0.0076192268170416355
16,16.0,0.007619549985975027
17,17.0,0.007594659458845854
18,18.0,0.007584829349070787
19,19.0,0.007565910462290049
